Text;finals;last_word
– Чому ж не йдеш, Парасино,;но;параси^но
Ближче, неласкава?;ва;неласка^ва
Видей же ти, Парасино,;но;параси^но
Сина зчарувала?;ла;зчарува^ла
– Не я ж тото зчарувала;ла;зчарува^ла
Та й не моя мати,;ти;ма^ти
Зчарувала сусідочка;ка;сусі^дочка
А з третьої хати.;ти;ха^ти
НАСТУПАЄ ЧОРНА ХМАРА;ра;хма^ра
Наступає чорна хмара,;ра;хма^ра
Наступає синя,;ня;си^ня
Й зчарувала доч багата;та;бага^та
Вдовиного сина.;на;си^на
Й зчарувала доч багата;та;бага^та
Вдовиного сина.;на;си^на
А як мала чарувати,;ти;чарува^ти
Кликала до хати:;ти;ха^ти
– Іди, іди, козаченьку,;ку;козаче^ньку
Щось маю сказати.;ти;сказа^ти
– Іди, іди, козаченьку,;ку;козаче^ньку
Щось маю сказати.;ти;сказа^ти
А як ввійшов він до хати,;ти;ха^ти
На стів повалився,;ся;повали^вся
Дают єму стакан рому,;му;ро^му
Щоб козак напився.;ся;напи^вся
Дают єму стакан рому,;му;ро^му
Щоб козак напився.;ся;напи^вся
– Випий, випий, козаченьку,;ку;козаче^ньку
Цей стаканчик рому,;му;ро^му
Да й поспішай, козаченьку,;ку;козаче^ньку
Поскорєй додому.;му;додо^му
Да й поспішай, козаченьку,;ку;козаче^ньку
Поскорєй додому.;му;додо^му
І як прийшов додомочку;ку;додомо^чку
Та й сів на лавочку,;ку;лаво^чку
Питається єго мати:;ти;ма^ти
– Де ж ти був, синочку?;ку;сино^чку
Питається єго мати:;ти;ма^ти
– Де ж ти був, синочку?;ку;сино^чку
– А й був же я, моя мамцю,;цю;ма^мцю
В багатої дочки,;ки;до^чки
Готуй, готуй мені, мамцьо,;ьо;ма^мцьо
На завтра сорочку.;ку;соро^чку
Готуй, готуй мені, мамцьо,;ьо;ма^мцьо
На завтра сорочку.;ку;соро^чку
– Чи ти, синку, правду кажеш,;еш;ка^жеш
Чи ти так жартуєш,;єш;жарту^єш
Що ти в мене, мій синочку,;ку;сино^чку
Сорочки требуєш?;єш;требу^єш
Що ти в мене, мій синочку,;ку;сино^чку
Сорочки требуєш?;єш;требу^єш
– А я, мамцю, не жартую,;ую;жарту^ю
Тілько правду кажу,;жу;ка^жу
Бо я завтра дуже рано;но;ра^но
На лавочку ляжу.;жу;ля^жу
Бо я завтра дуже рано;но;ра^но
На лавочку ляжу.;жу;ля^жу
Ой вмер козак, ой вмер козак,;ак;ко^зак
Лежит на лавочці,;ці;лаво^чці
Прийшла, прийшла доч багата;та;бага^та
Та й стала в порозі.;зі;поро^зі
Прийшла, прийшла доч багата;та;бага^та
Та й стала в порозі.;зі;поро^зі
Приказала доч багата;та;бага^та
Явіра зрубати,;ти;зруба^ти
Молодому козакови;ви;козако^ви
Трунву збудувати.;ти;збудува^ти
Молодому козакови;ви;козако^ви
Трунву збудувати.;ти;збудува^ти
Тешут явір, тешут явір,;ір;я^вір
Тешут яворину,;ну;явори^ну
Молодому козакови;ви;козако^ви
Роблять домовину.;ну;домови^ну
Молодому козакови;ви;козако^ви
Роблять домовину.;ну;домови^ну
Тешут явір, тешут явір,;ір;я^вір
Вгору тріски скачут,;ут;ска^чут
За молодим козаченьком;ом;козаче^ньком
Всі дівчата плачуть.;ть;пла^чуть
За молодим козаченьком;ом;козаче^ньком
Всі дівчата плачуть.;ть;пла^чуть
Плачут дівки, плачут дівки,;ки;ді^вки
Плачут молодиці...;ці;молоди^ці
На котору ни поглянеш, –;ш ;погля^неш
Та й всьо чарівниці.;ці;чарівни^ці
На котору ни поглянеш, –;ш ;погля^неш
