Number of line;Title;Text
538;;– Іди, іди, козаченьку,
539;;Щось маю сказати.
540;;– Іди, іди, козаченьку,
541;;Щось маю сказати.
542;;
543;;А як ввійшов він до хати,
544;;На стів повалився,
545;;Дают єму стакан рому, 
546;;Щоб козак напився.
547;;Дают єму стакан рому, 
548;;Щоб козак напився.
549;;
550;;– Випий, випий, козаченьку,
551;;Цей стаканчик рому,
552;;Да й поспішай, козаченьку,
553;;Поскорєй додому.
554;;Да й поспішай, козаченьку,
555;;Поскорєй додому.
556;;
557;;І як прийшов додомочку
558;;Та й сів на лавочку,
559;;Питається єго мати:
560;;– Де ж ти був, синочку?
561;;Питається єго мати:
562;;– Де ж ти був, синочку?
563;;
564;;– А й був же я, моя мамцю,
565;;В багатої дочки,
566;;Готуй, готуй мені, мамцьо,
567;;На завтра сорочку.
568;;Готуй, готуй мені, мамцьо,
569;;На завтра сорочку.
570;;
571;;– Чи ти, синку, правду кажеш,
572;;Чи ти так жартуєш, 
573;;Що ти в мене, мій синочку,
574;;Сорочки требуєш?
575;;Що ти в мене, мій синочку,
576;;Сорочки требуєш?
577;;
578;;– А я, мамцю, не жартую,
579;;Тілько правду кажу,
580;;Бо я завтра дуже рано
581;;На лавочку ляжу.
582;;Бо я завтра дуже рано
583;;На лавочку ляжу.
584;;
585;;Ой вмер козак, ой вмер козак,
586;;Лежит на лавочці,
587;;Прийшла, прийшла доч багата
588;;Та й стала в порозі.
589;;Прийшла, прийшла доч багата
590;;Та й стала в порозі.
591;;
592;;Приказала доч багата
593;;Явіра зрубати,
594;;Молодому козакови
595;;Трунву збудувати.
596;;Молодому козакови
597;;Трунву збудувати.
598;;
599;;Тешут явір, тешут явір,
600;;Тешут яворину,
601;;Молодому козакови
602;;Роблять домовину.
603;;Молодому козакови
604;;Роблять домовину.
605;;
606;;Тешут явір, тешут явір,
607;;Вгору тріски скачут,
608;;За молодим козаченьком
609;;Всі дівчата плачуть.
610;;За молодим козаченьком
